Visitantes,Dia,Mes,Ano,Day of the week,COVID,Season,Event,Total Turistas
776,29,5,2019,Wednesday,0,Spring,0,25442.548387096773
959,30,5,2019,Thursday,0,Spring,0,25442.548387096773
1043,31,5,2019,Friday,0,Spring,0,25442.548387096773
1153,1,6,2019,Saturday,0,Spring,0,25937.166666666668
880,2,6,2019,Sunday,0,Spring,0,25937.166666666668
986,3,6,2019,Monday,0,Spring,0,25937.166666666668
988,4,6,2019,Tuesday,0,Spring,0,25937.166666666668
912,5,6,2019,Wednesday,0,Spring,1,25937.166666666668
828,6,6,2019,Thursday,0,Spring,1,25937.166666666668
1077,7,6,2019,Friday,0,Spring,1,25937.166666666668
1351,8,6,2019,Saturday,0,Spring,1,25937.166666666668
1122,9,6,2019,Sunday,0,Spring,1,25937.166666666668
1315,10,6,2019,Monday,0,Spring,1,25937.166666666668
1218,11,6,2019,Tuesday,0,Spring,1,25937.166666666668
1007,12,6,2019,Wednesday,0,Spring,1,25937.166666666668
1227,13,6,2019,Thursday,0,Spring,1,25937.166666666668
1227,14,6,2019,Friday,0,Spring,1,25937.166666666668
1441,15,6,2019,Saturday,0,Spring,1,25937.166666666668
980,16,6,2019,Sunday,0,Spring,1,25937.166666666668
1174,17,6,2019,Monday,0,Spring,1,25937.166666666668
1153,18,6,2019,Tuesday,0,Spring,1,25937.166666666668
1025,19,6,2019,Wednesday,0,Spring,1,25937.166666666668
1427,20,6,2019,Thursday,0,Spring,1,25937.166666666668
1244,21,6,2019,Friday,0,Summer,1,25937.166666666668
1191,22,6,2019,Saturday,0,Summer,1,25937.166666666668
1064,23,6,2019,Sunday,0,Summer,1,25937.166666666668
1201,24,6,2019,Monday,0,Summer,1,25937.166666666668
1109,25,6,2019,Tuesday,0,Summer,1,25937.166666666668
1144,26,6,2019,Wednesday,0,Summer,1,25937.166666666668
1191,27,6,2019,Thursday,0,Summer,1,25937.166666666668
1090,28,6,2019,Friday,0,Summer,1,25937.166666666668
1297,29,6,2019,Saturday,0,Summer,1,25937.166666666668
1179,30,6,2019,Sunday,0,Summer,1,25937.166666666668
1450,1,7,2019,Monday,0,Summer,1,25258.032258064515
1543,2,7,2019,Tuesday,0,Summer,1,25258.032258064515
1604,3,7,2019,Wednesday,0,Summer,1,25258.032258064515
1612,4,7,2019,Thursday,0,Summer,0,25258.032258064515
1556,5,7,2019,Friday,0,Summer,0,25258.032258064515
1502,7,7,2019,Sunday,0,Summer,0,25258.032258064515
1619,8,7,2019,Monday,0,Summer,0,25258.032258064515
1656,9,7,2019,Tuesday,0,Summer,0,25258.032258064515
1567,10,7,2019,Wednesday,0,Summer,0,25258.032258064515
1250,11,7,2019,Thursday,0,Summer,0,25258.032258064515
1534,14,7,2019,Sunday,0,Summer,0,25258.032258064515
1754,15,7,2019,Monday,0,Summer,0,25258.032258064515
1508,18,7,2019,Thursday,0,Summer,0,25258.032258064515
1689,19,7,2019,Friday,0,Summer,0,25258.032258064515
1477,20,7,2019,Saturday,0,Summer,0,25258.032258064515
1255,21,7,2019,Sunday,0,Summer,0,25258.032258064515
1615,22,7,2019,Monday,0,Summer,0,25258.032258064515
1589,23,7,2019,Tuesday,0,Summer,0,25258.032258064515
1476,24,7,2019,Wednesday,0,Summer,0,25258.032258064515
1251,28,7,2019,Sunday,0,Summer,0,25258.032258064515
1739,4,8,2019,Sunday,0,Summer,0,26868.58064516129
1600,25,8,2019,Sunday,0,Summer,0,26868.58064516129
1724,27,8,2019,Tuesday,0,Summer,0,26868.58064516129
1349,29,8,2019,Thursday,0,Summer,0,26868.58064516129
1503,30,8,2019,Friday,0,Summer,0,26868.58064516129
1669,31,8,2019,Saturday,0,Summer,0,26868.58064516129
1087,1,9,2019,Sunday,0,Summer,0,26821.43333333333
1580,2,9,2019,Monday,0,Summer,0,26821.43333333333
1419,3,9,2019,Tuesday,0,Summer,0,26821.43333333333
1410,4,9,2019,Wednesday,0,Summer,0,26821.43333333333
1434,5,9,2019,Thursday,0,Summer,0,26821.43333333333
1243,6,9,2019,Friday,0,Summer,0,26821.43333333333
1404,7,9,2019,Saturday,0,Summer,0,26821.43333333333
982,8,9,2019,Sunday,0,Summer,0,26821.43333333333
1431,9,9,2019,Monday,0,Summer,0,26821.43333333333
1603,10,9,2019,Tuesday,0,Summer,0,26821.43333333333
