Ano,Mes,Dia,Visitantes,COVID
2020,11,7,172,1
2020,11,8,148,1
2020,11,9,71,1
2020,11,10,75,1
2020,11,11,73,1
2020,11,12,70,1
2020,11,13,101,1
2020,11,14,39,1
2020,11,15,27,1
2020,11,16,91,1
2020,11,17,67,1
2020,11,18,75,1
2020,11,19,81,1
2020,11,20,87,1
2020,11,21,55,1
2020,11,22,67,1
2020,11,23,132,1
2020,11,24,88,1
2020,11,25,92,1
2020,11,26,210,1
2020,11,27,379,1
2020,11,28,104,1
2020,11,29,104,1
2020,11,30,124,1
2020,12,1,92,1
2020,12,2,164,1
2020,12,3,138,1
2020,12,4,69,1
2020,12,5,67,1
2020,12,6,71,1
2020,12,7,113,1
2020,12,8,77,1
2020,12,9,124,1
2020,12,10,91,1
2020,12,11,134,1
2020,12,12,89,1
2020,12,13,75,1
2020,12,14,140,1
2020,12,15,193,1
2020,12,16,126,1
2020,12,17,203,1
2020,12,18,231,1
2020,12,19,144,1
2020,12,20,135,1
2020,12,21,424,1
2020,12,22,429,1
2020,12,23,364,1
2020,12,24,204,1
2020,12,26,124,1
2020,12,27,71,1
2020,12,28,460,1
2020,12,29,397,1
2020,12,30,413,1
2020,12,31,216,1
2021,1,2,112,1
2021,1,3,74,1
2021,1,4,206,1
2021,1,5,161,1
2021,1,6,156,1
2021,1,7,165,1
2021,1,8,140,1
2021,1,9,84,1
2021,1,10,79,1
2021,1,11,155,1
2021,1,12,139,1
2021,1,13,155,1
2021,1,14,114,1
2021,1,15,0,1
2021,1,19,1,1
2021,1,20,2,1
2021,1,21,0,1
2021,1,22,0,1
2021,1,24,0,1
2021,1,25,0,1
2021,1,26,1,1
2021,1,27,0,1
2021,1,28,0,1
2021,1,29,1,1
2021,1,31,1,1
2021,2,1,0,1
2021,2,2,0,1
2021,2,3,0,1
2021,2,4,1,1
2021,2,5,0,1
2021,2,7,0,1
2021,2,8,0,1
2021,2,9,0,1
2021,2,10,10,1
2021,2,11,0,1
2021,2,12,24,1
2021,2,15,1,1
2021,2,16,0,1
2021,2,17,0,1
2021,2,18,2,1
2021,2,19,1,1
2021,2,20,0,1
2021,2,22,2,1
2021,2,23,1,1
2021,2,24,0,1
2021,2,25,2,1
2021,2,26,2,1
2021,3,1,1,1
2021,3,2,0,1
2021,3,3,1,1
2021,3,4,2,1
2021,3,11,1,1
2021,3,12,2,1
2021,3,14,1,1
2021,3,15,1,1
2021,3,16,0,1
2021,3,17,3,1
2021,3,18,2,1
2021,3,19,13,1
2021,3,22,3,1
2021,3,23,3,1
2021,3,24,5,1
2021,3,25,5,1
2021,3,26,1,1
2021,3,27,2,1
2021,3,29,2,1
2021,3,30,5,1
2021,3,31,29,1
2021,4,1,20,1
2021,4,5,289,1
2021,4,6,229,1
2021,4,7,212,1
2021,4,8,170,1
2021,4,9,229,1
2021,4,10,110,1
2021,4,12,162,1
2021,4,13,110,1
2021,4,14,109,1
2021,4,15,113,1
2021,4,16,165,1
2021,4,17,105,1
2021,4,19,133,1
2021,4,20,114,1
2021,4,21,114,1
2021,4,22,105,1
2021,4,23,105,1
2021,4,24,89,1
2021,4,26,91,1
2021,4,27,98,1
2021,4,28,100,1
2021,4,29,123,1
2021,4,30,171,1
2021,5,1,320,1
2021,5,3,127,1
2021,5,4,136,1
2021,5,5,132,1
2021,5,6,126,1
2021,5,7,139,1
2021,5,8,294,1
2021,5,10,106,1
2021,5,11,107,1
2021,5,12,107,1
2021,5,13,148,1
2021,5,14,180,1
2021,5,15,294,1
2021,5,17,149,1
2021,5,18,148,1
2021,5,19,122,1
2021,5,20,92,1
2021,5,21,150,1
2021,5,22,325,1
2021,5,24,197,1
2021,5,25,121,1
2021,5,26,131,1
2021,5,27,152,1
2021,5,28,197,1
2021,5,29,264,1
2021,5,31,200,1
2021,6,1,197,1
2021,6,2,154,1
2021,6,3,357,1
2021,6,4,238,1
2021,6,5,296,1
2021,6,6,180,1
2021,6,7,201,1
2021,6,8,191,1
2021,6,9,137,1
